category,film
ACTRESS,A Ship Comes In
ACTRESS,7th Heaven
ACTRESS,Sadie Thompson
ART DIRECTION,7th Heaven
DIRECTING (Dramatic Picture),7th Heaven
ENGINEERING EFFECTS,Wings
OUTSTANDING PICTURE,The Racket
OUTSTANDING PICTURE,7th Heaven
OUTSTANDING PICTURE,Wings
WRITING (Adaptation),The Jazz Singer
WRITING (Adaptation),Glorious Betsy
WRITING (Adaptation),7th Heaven
