category,film
ART DIRECTION,Sunrise
ART DIRECTION,The Dove;
CINEMATOGRAPHY,The Devil Dancer;
CINEMATOGRAPHY,Sunrise
CINEMATOGRAPHY,Sunrise
DIRECTING (Dramatic Picture),Sorrell and Son
DIRECTING (Dramatic Picture),The Crowd
UNIQUE AND ARTISTIC PICTURE,Sunrise
UNIQUE AND ARTISTIC PICTURE,The Crowd
UNIQUE AND ARTISTIC PICTURE,Chang
